model,ADJ_R2,MSE,AIC
100011000001010,0.6862598853736132,1106073815.8513591,702.534867274137
010101010010100,0.6862064295348544,849490870.8283066,575.1545708348009
000001000101000,0.6860958065450993,1207257018.4281862,700.985825354953
001011001010100,0.6848135943002029,853261505.1808543,575.2564350084631
000101000011110,0.6847812557976785,853349050.8326981,575.2587947149434
001001101010100,0.6847474807792093,853440485.3697702,575.2612589840404
000001001001011,0.6838699954679885,1114499243.5354364,702.7473467566388
001101100010100,0.6836686205433653,856361137.6950891,575.3398354316383
000101110011100,0.6835692480201312,803090770.7626572,575.8626735441983
000011001110100,0.6833560342743938,857207360.2019552,575.3625519081188
100001101001010,0.6828593652522489,1067241158.2011094,703.5341562290043
000001000000010,0.6826273129242657,1271454833.720364,700.4365312236891
010001000011110,0.6823872690069184,859829967.3174422,575.432812477994
100001000101000,0.6819922247922268,1172079187.2172954,702.1578204271688
000001000101010,0.6818214548988184,1172708592.7019148,702.172852366642
011001010010100,0.6814576689983353,862346547.6273661,575.5000313580853
100001100011100,0.6813467310477732,862646874.9288182,575.5080401167424
010011100110100,0.6806600997186446,810474092.8231264,576.0731610138146
100001000001001,0.680559745417095,1177358867.1264203,702.2836643803894
100001001001001,0.6803621814798482,1126865852.14645,703.0563268112755
010001001011100,0.6803510881845335,865342244.1222463,575.5797923529615
001011100010110,0.6801825412638586,811686120.368296,576.1075307862941
011011000010100,0.6798059448458142,866818036.9144579,575.6189841561746
000001101001100,0.6797290750312737,1129097834.710264,703.1117315436675
000111010010100,0.6788370406683524,869441020.0821534,575.6884768491097
010011101110100,0.6782633306217183,762119879.1999289,576.658304257837
000001011010110,0.6779531962804584,871833732.3918284,575.7516861935072
010101100010100,0.6777019197008007,872513979.4732319,575.7696249147368
011001000011100,0.6773877030631714,873364615.6565446,575.7920372792838
000010111001000,0.6770065242445839,1138696040.3495686,703.3487472315528
000011000101000,0.6769870640134874,1190526675.7216377,702.5950835218109
000000010001010,0.676983096609078,1242303963.5042562,701.7870966332538
000101101010100,0.6765951664329486,875510142.8296267,575.8484703080048
000101001011100,0.6760481322372882,876991054.4829649,575.8873415808876
101001010010100,0.6757572076693463,877778635.1978912,575.9079874328944
001001100011110,0.6755886183516927,823345344.6038413,576.435557137602
000000111001100,0.6754653313222312,1144129432.692845,703.4820340506187
000011000011110,0.6753973113948878,878752933.680631,575.9335023371503
010011000010110,0.6749958897975561,879839648.0507851,575.9619278337145
001011100011100,0.6748825530111215,825137315.0587362,576.4855611051356
000000000101010,0.6736825807750548,1254997552.7844841,702.0717427270223
000111000010110,0.6733651278908033,884254389.0865163,576.0770455696824
001011100111100,0.6731366343692895,774263838.8429058,577.0219072895276
001001001010110,0.6730670703568695,885061279.9150412,576.0980237260032
010111000010100,0.6728498579010685,885649309.8034791,576.1132997265081
001001010011110,0.6724226613456905,831380438.652834,576.6589278224067
000101001111100,0.6723655446635575,831525398.9008206,576.6629377737062
000001111001100,0.6715091918756473,1105436743.544068,704.5187352913872
101001100011100,0.6714370805127402,833881810.1719756,576.7280239521602
100001001001010,0.6712223303377076,1159087903.3213193,703.8457366504734
000011001001010,0.6709100611341711,1160188791.5196295,703.8723181031619
001011010010100,0.6708170200078494,891152536.7485174,576.2557743921308
000011010110100,0.6705975965835664,891746552.0927384,576.2711003895561
100001000000000,0.6704286922063156,1320324808.6998367,701.4925789526768
000011101001010,0.6700998618401504,1110179418.7315843,704.6386072352152
000001000001011,0.670012792702315,1216231702.0987158,703.1932059706503
100001000010110,0.6694117083191696,950891756.0990402,575.7481207639975
100001101001001,0.6690078879587374,1113854127.495573,704.731134561701
010011010010100,0.6683240804481341,897901334.6743822,576.429299729801
000001111001010,0.6682154636273796,1116520792.5915098,704.7980889177531
011001000111100,0.6678168161383113,843069921.2788556,576.9800630135244
000001011001000,0.6675177828895409,1225427543.5260038,703.404115644355
000001000001100,0.6672522234960501,1279728327.7086327,702.618140013916
000001101001011,0.6670657378258861,1120389848.024837,704.8949489873498
000000000101011,0.6669924405823329,1227363794.2483044,703.4483224471523
001111000110100,0.6667515375113185,845773563.1602963,577.0537037232389
010011100011100,0.6659404599426613,847832051.1728734,577.1096143168305
000011000001011,0.6653774000577964,1179693889.0932863,704.3391409803829
011001100010100,0.66510534416237,906614983.8619906,576.6514262763807
001101000010110,0.6641578910014785,909179895.5952735,576.7164038900632
000000111001010,0.6640412447532066,1184404432.3978224,704.450722961452
000011000001100,0.6639399804133785,1238614226.8250036,703.703810772725
000111000001000,0.6639171218431998,1238698476.5083284,703.7057152485958
000011000000000,0.6638235233653502,1346786360.6618698,702.0481971629359
100001010011100,0.6633273708651521,911428250.3745075,576.7732114862783
010001100011110,0.6628307570714485,855724374.0904766,577.3227269829299
010101101110100,0.6626503643852115,799103391.1045943,577.7481931351973
101001000011100,0.661585080734794,916144916.6780252,576.8919301978423
100001001010100,0.6614344541582428,973837230.6025829,576.2965313926383
000001001001100,0.6606619409669117,1250696075.4765685,703.9756084817363
000001010111100,0.6604328374888311,919264228.8964632,576.970108134649
100011000101000,0.6603556614120303,1197397757.2541852,704.7562199558021
010001001111100,0.6602400807935563,862299424.7004163,577.498774488748
010101001110100,0.6600814801303094,862701947.9320984,577.5095084332464
010011100010110,0.6598823371207395,863207366.296296,577.522979155738
000011101010100,0.6596868985136906,921283608.5435275,577.0205776194125
000001101101000,0.6596618690312608,1199843684.7917588,704.8133572917552
001011110010100,0.6595307523093191,864099676.9058857,577.5467423261911
000101000001000,0.6594776095402395,1309629034.5466583,703.2648309804538
000001101110100,0.6592495021026805,922467712.6586474,577.0501199964987
000001000000100,0.65889973053899,1366512003.2399893,702.4553235817214
000101101001000,0.6584462868276382,1204129154.146046,704.9131864304915
000010011001000,0.6584380556848362,1258892634.985771,704.1585105496126
100011000101001,0.6582663770943391,1150001442.7233057,705.6253708076198
000111100011100,0.6578433210610813,868382321.539118,577.6604532072137
001001011010110,0.6577890780008462,868519988.6298798,577.6640991728798
001011000011110,0.6577226145743743,868688670.6055062,577.6685657468068
101001000010110,0.657416596658547,927429689.5391008,577.173506019763
000011000001001,0.6562974089755955,1266782402.6288633,704.333445336788
000001001000000,0.6562755364576681,1377025019.5932863,702.6699121921416
100001010010110,0.6555986506471501,932351168.7716142,577.2952346482363
000011000101010,0.6551631495716848,1215703677.0819497,705.1810471766064
000001000010000,0.65491355389446,1167757298.1287463,574.4732433898538
000000010001100,0.6549023963460305,1327225034.7106626,703.6385303244675
000111000001010,0.6548802089652086,1216701168.8965907,705.2040119165606
000111110010100,0.6548784956416192,875906950.2814095,577.8588922361487
010011111110100,0.6547778923678143,759340640.9845678,578.5742763790926
000001000001001,0.6547772390270024,1327706382.3796487,703.6486833060418
001101100110100,0.6545601445931871,876714914.700982,577.8800983883003
000101001010110,0.6542185694595141,936087275.818552,577.3872158177047
010101100110100,0.6535625620950349,879246746.0490025,577.9464234825887
110001100010100,0.653505139371093,938018648.5556976,577.4346214505481
010011110010100,0.6534776740784718,879462189.0241989,577.9520585121896
000011111001000,0.6531910530785987,1167080915.0057306,706.0381605246337
100001000000010,0.6524708774411176,1336576513.0425968,703.8351233996387
010011000001000,0.6520070613228884,1282595309.047202,704.6807983837084
000011110110100,0.651583382451473,884269838.4490963,578.0774474135857
000001111001001,0.6514390542588353,1172976738.63949,706.1792539808606
000001100000000,0.6514132358809512,1396504312.6232908,703.0632227417517
010001001010110,0.6513893446453265,943746453.3077872,577.5746388374425
000001001101000,0.6513370884810465,1285064623.5896237,704.7346535127497
001101110010100,0.6513230674441239,884930509.318109,578.0946251523452
100001101010100,0.65112136871449,944471908.282884,577.5923120743813
000100111001000,0.6509428783787143,1230582015.0588934,705.5216440263729
100001110011100,0.6509264918543828,885937005.033327,578.1207698568531
000101010011110,0.650888920975908,886032358.6788363,578.1232452200211
001101010010110,0.6508879871093196,886034728.8013154,578.1233067445733
000101001001000,0.6507931824288407,1287069294.5860345,704.7782988290903
010111000110100,0.650639433804097,886665548.8597888,578.1396759663082
010001000001000,0.6502781651124507,1345009555.3637016,704.0112325808308
101001100011110,0.6501532356936599,828706203.3272604,578.5848263097064
000001000011000,0.6500332704933338,1125058363.6099594,575.6164897779105
001011100110100,0.6499650301045424,888377163.1181748,578.184032239967
100000000101000,0.6495375810027608,1347857798.1804636,704.0704637408833
000011000000010,0.6494983625689674,1348008629.9642887,704.0735969005291
000011110011100,0.6494498771859709,889684604.1675912,578.2178568799312
100001111001000,0.6494302537877676,1179736750.7806094,706.3401582827989
000001000100000,0.6489699334954646,1406292642.730998,703.2587947804197
100101000010100,0.6488860801527936,1009930902.6850446,577.1335708297668
000000000101000,0.6488384027807865,1406819579.5777102,703.2692843952764
100001000101001,0.6487589438489184,1238281358.1977758,705.696284963664
100111000001000,0.6483938197761079,1239568583.3808024,705.725376562604
100000010001000,0.6483340350199658,1352486565.0622895,704.1664556457636
010001111110100,0.6477981973792322,834284745.3043721,578.7391349628623
100000000101001,0.6477163036516901,1298409726.6680253,705.0239276909123
010001010011110,0.6476697042530564,894202624.1256396,578.334360523854
000011001011100,0.6474997159517939,954276318.7259023,577.8298406115424
010101000111100,0.6474514156625695,894756633.3402493,578.3486059151787
010101100111100,0.647201646606486,835697836.3385408,578.7780588437461
000001111010100,0.6467920857790654,956191990.1361368,577.8759659065792
011001001110100,0.6461438313684021,898075238.9816717,578.4337539071425
101001100010110,0.6460737896984593,898253002.420743,578.4383060363333
001001101011100,0.6460691130027756,898264871.719532,578.4386099507849
000101000001010,0.6459088454220948,1305071463.7003636,705.1672197144438
000100010001000,0.6457328895714993,1362490417.078573,704.3727992913848
001011000001000,0.6452109659865286,1307643633.3936346,705.2223506965851
001101100010110,0.6450933262265177,900741386.2470924,578.5019336550375
001001001111100,0.644961355639881,901076323.2261214,578.5104845207171
010001101111100,0.6448767325763953,841205020.8419018,578.9291298475598
010001101001000,0.6444554173586949,1253453208.2250738,706.0372659465337
000010000101010,0.6443890915645945,1310672810.6010973,705.2871381288643
000001011011100,0.6443188002986368,962887581.2327353,578.0364586994687
100001101001100,0.6441481903583949,1197511942.2080317,706.7588899343076
100011101001000,0.6438626137397967,1198472964.1894324,706.7813513587101
100000010011100,0.6438380838065754,1024450769.9375464,577.4618893769533
100001000000001,0.6435851127239243,1370750640.1890526,704.5420393594117
000101101001010,0.6435223953860354,1199617866.4508479,706.8080870147126
100001011010100,0.6434911849509343,965128072.270804,578.0899139885665
000101000000000,0.643316697192883,1428940573.4313662,703.7061340288635
010101000010110,0.6430735167721038,966258768.8125653,578.1168438846169
100101000001000,0.6430283285786236,1315688165.8814833,705.3940770605714
000000111001101,0.6430209366463385,1201305374.6018293,706.8474470702114
000001101010110,0.6430191535945231,966405938.8868136,578.1203467288512
000000111001110,0.642874214022936,1201799125.3400745,706.8589530374848
000001110111100,0.6424704994066464,907398033.8679957,578.6712829709917
000011001010110,0.6423416087373519,968240164.3933797,578.1639590455637
000111111110100,0.6419182340309572,787626376.4240702,579.4154635845313
000111100010110,0.641788528876916,909128852.4908121,578.7151125896676
000000110001000,0.6416747610108533,1378097740.2321835,704.6917160695186
001001000001000,0.6415127126179823,1378720968.7958581,704.7043758791921
010000111001000,0.6414843390731999,1263927584.1280217,706.2702733792355
010000010001000,0.6413834027611662,1379218286.8803186,704.714473930835
000101100011110,0.6409965680629837,911138822.8128976,578.7659065875221
000011100011110,0.6407048519730738,911879188.5896873,578.7845881514955
000011101001100,0.6400564419382848,1211281487.464883,707.079009926345
100001111001100,0.6400115883839097,1153745170.0709748,707.7163742690481
010001101011100,0.6399628155334394,913762452.502917,578.8320400548631
000001101011000,0.6399539659108557,1035622900.8922696,577.711357670018
100000010010100,0.6398505999916151,1096856702.1988177,577.0326033300508
000011010010110,0.6397847597780982,975161975.5884061,578.3277978387912
010001001001000,0.6397798187340061,1327661177.471716,705.6477299635054
000001100001000,0.6397613383344296,1385456651.0192857,704.8408356162207
100101101001000,0.6395642586387842,1212937781.9193115,707.1172706996388
100001000101010,0.6394799020223456,1270994118.6070836,706.426383508982
001001101010110,0.6386086864033425,917199187.3967206,578.9183826561111
100011000000000,0.6385092537703516,1390272094.422612,704.9379867162924
100001100001000,0.6381798120843396,1333558311.5661824,705.771823466951
011001100111100,0.637863119760683,857818650.1251128,579.3789477747044
001000010001000,0.6377440772241305,1393214918.3001618,704.9971923809107
100001010000000,0.6377209195598554,1393303981.3114538,704.9989822588243
001011010010110,0.6375643259338099,919849739.687177,578.9847529569618
011011100111100,0.6375113019034815,797319737.8643472,579.6967981875151
000001101001101,0.637395450886598,1220236250.307633,707.285246952109
100101100010100,0.6373299590562502,981807525.3994534,578.4840069499834
